piece,square,is_white,period,count
pawn,f7,True,pre-ai,1318
knight,b7,True,pre-ai,1162
bishop,f2,True,pre-ai,1953
knight,h5,False,pre-ai,4104
rook,g3,True,pre-ai,2420
bishop,c1,False,pre-ai,751
pawn,a2,False,pre-ai,1569
pawn,a1,False,pre-ai,852
rook,g6,True,pre-ai,1908
rook,g8,True,pre-ai,1512
rook,a8,True,pre-ai,2587
rook,c6,True,pre-ai,3032
knight,e7,True,pre-ai,2448
king,b5,False,pre-ai,2079
king,d4,False,pre-ai,2312
king,h7,False,pre-ai,7080
rook,h3,True,pre-ai,1821
rook,b4,False,pre-ai,2372
rook,b6,False,pre-ai,1866
king,a3,True,pre-ai,1077
rook,b7,False,pre-ai,2030
bishop,d8,False,pre-ai,1615
knight,a7,True,pre-ai,751
pawn,h1,False,pre-ai,601
knight,d1,False,pre-ai,778
pawn,f1,False,pre-ai,531
bishop,c7,False,pre-ai,1969
knight,g8,True,pre-ai,220
bishop,h2,False,pre-ai,875
knight,c7,False,pre-ai,1832
knight,c3,False,pre-ai,4639
king,b4,False,pre-ai,1715
knight,a4,False,pre-ai,1182
king,c3,False,pre-ai,1411
king,c2,False,pre-ai,848
king,d3,False,pre-ai,1436
pawn,c2,False,pre-ai,1325
pawn,c1,False,pre-ai,591
queen,e7,True,pre-ai,2640
knight,e2,False,pre-ai,2224
rook,b3,False,pre-ai,2578
bishop,b2,False,pre-ai,1963
knight,c8,True,pre-ai,793
rook,h5,True,pre-ai,1925
rook,a5,True,pre-ai,2205
knight,g2,False,pre-ai,676
king,e5,True,pre-ai,2366
bishop,g1,False,pre-ai,349
rook,d3,False,pre-ai,3210
bishop,g3,True,pre-ai,3973
bishop,h4,True,pre-ai,3195
queen,h3,True,pre-ai,1929
knight,g3,False,pre-ai,2172
king,g6,False,pre-ai,6272
knight,f2,True,pre-ai,1279
rook,c3,False,pre-ai,3320
rook,g4,True,pre-ai,1779
queen,a2,False,pre-ai,2148
rook,a3,False,pre-ai,2973
queen,b1,True,pre-ai,1182
rook,a7,False,pre-ai,2063
rook,e7,False,pre-ai,4482
queen,b8,True,pre-ai,1184
queen,a1,True,pre-ai,835
king,h5,True,pre-ai,1431
king,h6,True,pre-ai,907
knight,f8,False,pre-ai,1826
king,g7,True,pre-ai,806
pawn,h6,True,pre-ai,2957
pawn,h7,True,pre-ai,1298
knight,d2,False,pre-ai,2206
knight,b7,False,pre-ai,562
queen,e1,True,pre-ai,2951
rook,a4,True,pre-ai,1817
rook,d4,True,pre-ai,3339
king,d6,True,pre-ai,1458
queen,b3,False,pre-ai,1695
knight,f8,True,pre-ai,844
rook,b6,True,pre-ai,2347
rook,a1,False,pre-ai,2604
rook,g3,False,pre-ai,1889
